id;year;day;min;glo_avg;dir_avg;diff_avg;lw_avg;par_avg;lux_avg;tp_sfc;humid;press;rain;ws_10m;wd_10m
10;2019;91;58;0.397;-0.945;-1.081;358.8;0;0;22.31;75.60;898.54;0;0.248;125.3
10;2019;91;59;1.344;-1.256;-0.909;357.8;0;0;22.42;75.80;898.54;0;0.103;122.1
10;2019;91;60;1.709;-0.994;-0.669;357.9;0;0;22.21;76.00;898.62;0;0.034;129.6
10;2019;91;61;1.697;-0.900;-0.627;358.0;0;0;22.17;76.00;898.54;0;0.150;153.0
10;2019;91;62;1.753;-0.900;-0.627;357.8;0;0;21.83;76.10;898.54;0;0.214;166.2
10;2019;91;63;1.753;-0.900;-0.627;357.7;0;0;22.06;76.50;898.54;0;0.296;173.9
10;2019;91;64;1.472;-0.900;-0.627;357.3;0;0;21.80;76.00;898.54;0;0.067;178.2
10;2019;91;65;1.253;-0.900;-0.627;357.0;0;0;21.73;75.90;898.54;0;0.060;178.6
10;2019;91;66;0.961;-0.900;-0.650;356.6;0;0;21.29;75.90;898.54;0;0.002;178.7
10;2019;91;67;0.707;-1.001;-0.705;355.5;0;0;21.35;76.80;898.46;0;0.268;13.9
10;2019;91;68;0.713;-1.099;-0.643;355.1;0;0;21.14;78.10;898.62;0;0.477;23.2
10;2019;91;69;0.701;-0.937;-0.629;355.1;0;0;21.06;78.70;898.54;0;0.611;0.1
10;2019;91;70;0.543;-0.900;-0.635;355.1;0;0;21.12;79.30;898.54;0;0.492;0.0
10;2019;91;71;0.304;-0.900;-0.674;355.3;0;0;21.39;79.70;898.62;0;0.380;0.1
10;2019;91;72;0.018;-0.892;-0.818;355.2;0;0;21.34;80.10;898.62;0;0.285;0.2
10;2019;91;73;-0.187;-0.881;-0.932;355.0;0;0;20.94;80.50;898.62;0;0.245;0.0
10;2019;91;74;-0.348;-0.881;-0.940;354.9;0;0;20.88;80.70;898.54;0;0.166;0.0
10;2019;91;75;-0.193;-0.900;-0.938;354.6;0;0;21.12;80.90;898.54;0;0.216;360.0
10;2019;91;76;-0.257;-0.844;-0.940;354.2;0;0;20.85;81.10;898.62;0;0.298;359.9
10;2019;91;77;-0.353;-0.694;-0.940;354.0;0;0;21.06;81.30;898.62;0;0.230;359.9
10;2019;91;78;-0.406;-0.577;-0.940;354.0;0;0;21.09;81.50;898.54;0;0.101;359.9
10;2019;91;79;-0.523;-0.472;-0.940;353.9;0;0;20.73;81.60;898.62;0;0.003;359.9
10;2019;91;80;-0.666;-0.450;-0.940;353.9;0;0;20.76;81.80;898.62;0;0;0
